"Ticker","Name","Sector","Asset Class","Market Value","Weight (%)","Notional Value","Quantity","Price","Location","Exchange","Currency","FX Rate","Accrual Date"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","4922753.5","0.06114","4922753.5","38450","128.03","United States","NYSE","USD","1","--"
"FAST","FASTENAL","Industrials","Equity","4906492.98","0.06094","4906492.98","104862","46.79","United States","NASDAQ","USD","1","--"
"CPG","COMPASS GROUP PLC","Consumer Discretionary","Equity","4876517.49","0.06057","4876517.49","148629","32.81","United Kingdom","London Stock Exchange","USD","1","--"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","4852281.51","0.06027","4852281.51","1557","3116.43","United States","NYSE","USD","1","--"
"GLE","SOCIETE GENERALE SA","Financials","Equity","4838377.5","0.06009","4838377.5","59576","81.21","France","Nyse Euronext - Euronext Paris","USD","0.86513","--"
"WPM","WHEATON PRECIOUS METALS CORP","Materials","Equity","4816511.03","0.05982","4816511.03","41407","116.32","Canada","Toronto Stock Exchange","USD","1.39175","--"
"VOLV B","VOLVO CLASS B","Industrials","Equity","4791188.27","0.05951","4791188.27","140545","34.09","Sweden","Nasdaq Omx Nordic","USD","9.4309","--"
"AME","AMETEK INC","Industrials","Equity","4765252.7","0.05919","4765252.7","21034","226.55","United States","NYSE","USD","1","--"
"CTVA","CORTEVA INC","Materials","Equity","4765923.13","0.05919","4765923.13","61871","77.03","United States","NYSE","USD","1","--"
"DB1","DEUTSCHE BOERSE AG","Financials","Equity","4749580.39","0.05899","4749580.39","16710","284.23","Germany","Xetra","USD","0.86513","--"
"BAS","BASF N","Materials","Equity","4743686.45","0.05892","4743686.45","80500","58.93","Germany","Xetra","USD","0.86513","--"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","4694103.68","0.0583","4694103.68","109216","42.98","United States","NYSE","USD","1","--"
"7974","NINTENDO LTD","Communication","Equity","4680640.19","0.05814","4680640.19","99700","46.95","Japan","Tokyo Stock Exchange","USD","160.265","--"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","4659791.23","0.05788","4659791.23","2490","1871.4","France","Nyse Euronext - Euronext Paris","USD","0.86513","--"
"COR","CENCORA INC","Health Care","Equity","4649826.24","0.05775","4649826.24","16906","275.04","United States","NYSE","USD","1","--"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","4624301.8","0.05744","4624301.8","68855","67.16","United States","NYSE","USD","1","--"
"LNG","CHENIERE ENERGY INC","Energy","Equity","4619495.26","0.05738","4619495.26","19343","238.82","United States","NYSE","USD","1","--"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","4612011.88","0.05728","4612011.88","53653","85.96","United States","NYSE","USD","1","--"
"ETR","ENTERGY CORP","Utilities","Equity","4612099.52","0.05728","4612099.52","41648","110.74","United States","NYSE","USD","1","--"
"VST","VISTRA CORP","Utilities","Equity","4610072.4","0.05726","4610072.4","30990","148.76","United States","NYSE","USD","1","--"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","4589498.54","0.057","4589498.54","10274","446.71","United States","NYSE","USD","1","--"
"ENI","ENI","Energy","Equity","4575734.35","0.05683","4575734.35","168093","27.22","Italy","Borsa Italiana","USD","0.86513","--"
"STAN","STANDARD CHARTERED PLC","Financials","Equity","4574507.13","0.05682","4574507.13","176785","25.88","United Kingdom","London Stock Exchange","USD","0.74702","--"
"6723","RENESAS ELECTRONICS CORP","Information Technology","Equity","4543345.08","0.05643","4543345.08","159400","28.5","Japan","Tokyo Stock Exchange","USD","160.265","--"
"XEL","XCEL ENERGY INC","Utilities","Equity","4492475.52","0.0558","4492475.52","56838","79.04","United States","NASDAQ","USD","1","--"
"6762","TDK CORP","Information Technology","Equity","4486406.26","0.05572","4486406.26","174900","25.65","Japan","Tokyo Stock Exchange","USD","160.265","--"
"DVN","DEVON ENERGY CORP","Energy","Equity","4475733.84","0.05559","4475733.84","101078","44.28","United States","NYSE","USD","1","--"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","4457605.07","0.05537","4457605.07","145026","30.74","Japan","Tokyo Stock Exchange","USD","160.265","--"
"9433","KDDI CORP","Communication","Equity","4445499.95","0.05522","4445499.95","268700","16.54","Japan","Tokyo Stock Exchange","USD","160.265","--"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","4432449.84","0.05505","4432449.84","14313","309.68","United States","NYSE","USD","1","--"
"CABK","CAIXABANK SA","Financials","Equity","4428593.36","0.05501","4428593.36","333446","13.28","Spain","Bolsa De Madrid","USD","0.86513","--"
"ADSK","AUTODESK INC","Information Technology","Equity","4414772.08","0.05483","4414772.08","19198","229.96","United States","NASDAQ","USD","1","--"
"ATCO A","ATLAS COPCO CLASS A","Industrials","Equity","4391814.12","0.05455","4391814.12","231067","19.01","Sweden","Nasdaq Omx Nordic","USD","9.4309","--"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","4385374.28","0.05447","4385374.28","49642","88.34","United States","NASDAQ","USD","1","--"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","4382651.55","0.05443","4382651.55","21305","205.71","United States","NYSE","USD","1","--"
"DSV","DSV","Industrials","Equity","4376252.08","0.05436","4376252.08","17560","249.22","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.46625","--"
"HOLN","HOLCIM LTD AG","Materials","Equity","4358604.24","0.05414","4358604.24","46499","93.74","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"BN","DANONE SA","Consumer Staples","Equity","4330772.62","0.05379","4330772.62","58160","74.46","France","Nyse Euronext - Euronext Paris","USD","0.86513","--"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","4310068.7","0.05353","4310068.7","82870","52.01","United States","NASDAQ","USD","1","--"
"EOAN","E.ON N","Utilities","Equity","4299276.86","0.0534","4299276.86","203525","21.12","Germany","Xetra","USD","0.86513","--"
"MET","METLIFE INC","Financials","Equity","4294880.17","0.05334","4294880.17","50833","84.49","United States","NYSE","USD","1","--"
"ASM","ASM INTERNATIONAL NV","Information Technology","Equity","4273232.84","0.05308","4273232.84","4264","1002.16","Netherlands","Euronext Amsterdam","USD","0.86513","--"
"EBAY","EBAY INC","Consumer Discretionary","Equity","4271976.45","0.05306","4271976.45","39067","109.35","United States","NASDAQ","USD","1","--"
"EXC","EXELON CORP","Utilities","Equity","4268429.25","0.05302","4268429.25","93299","45.75","United States","NASDAQ","USD","1","--"
"PRY","PRYSMIAN","Industrials","Equity","4261239.28","0.05293","4261239.28","25363","168.01","Italy","Borsa Italiana","USD","0.86513","--"
"STMPA","STMICROELECTRONICS NV","Information Technology","Equity","4239982.94","0.05266","4239982.94","58391","72.61","France","Nyse Euronext - Euronext Paris","USD","0.86513","--"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","4233906.82","0.05259","4233906.82","36107","117.26","United States","NASDAQ","USD","1","--"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","4232603.93","0.05257","4232603.93","17449","242.57","United States","NASDAQ","USD","1","--"
"NBIS","NEBIUS NV CLASS A","Information Technology","Equity","4218129.96","0.05239","4218129.96","18516","227.81","Netherlands","NASDAQ","USD","1","--"
"EA","ELECTRONIC ARTS INC","Communication","Equity","4195807","0.05211","4195807","20669","203","United States","NASDAQ","USD","1","--"
"MSCI","MSCI INC","Financials","Equity","4194975.36","0.0521","4194975.36","6816","615.46","United States","NYSE","USD","1","--"
"CCO","CAMECO CORP","Energy","Equity","4185572.5","0.05199","4185572.5","40428","103.53","Canada","Toronto Stock Exchange","USD","1.39175","--"
"RIO","RIO TINTO LTD","Materials","Equity","4128847.69","0.05128","4128847.69","31590","130.7","Australia","Asx - All Markets","USD","1.41223","Jan 02, 1985"
"5803","FUJIKURA LTD","Industrials","Equity","4111213.3","0.05106","4111213.3","138800","29.62","Japan","Tokyo Stock Exchange","USD","160.265","--"
"STT","STATE STREET CORP","Financials","Equity","4107641.25","0.05102","4107641.25","25395","161.75","United States","NYSE","USD","1","--"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","4100957.2","0.05094","4100957.2","7295","562.16","United States","NASDAQ","USD","1","--"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","4081770","0.0507","4081770","15675","260.4","United States","NYSE","USD","1","--"
"GMG","GOODMAN GROUP UNITS","Real Estate","Equity","4067204.54","0.05052","4067204.54","184689","22.02","Australia","Asx - All Markets","USD","1.41223","--"
"LONN","LONZA GROUP AG","Health Care","Equity","4046106.15","0.05025","4046106.15","6617","611.47","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"6954","FANUC CORP","Industrials","Equity","4041965.49","0.0502","4041965.49","84700","47.72","Japan","Tokyo Stock Exchange","USD","160.265","--"
"FERG","FERGUSON ENTERPRISES INC","Industrials","Equity","4027062.78","0.05002","4027062.78","17541","229.58","United States","NYSE","USD","1","--"
"8002","MARUBENI CORP","Industrials","Equity","4025380.46","0.05","4025380.46","127900","31.47","Japan","Tokyo Stock Exchange","USD","160.265","--"
"SREN","SWISS RE AG","Financials","Equity","4001910.03","0.04971","4001910.03","26899","148.78","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"CSU","CONSTELLATION SOFTWARE INC","Information Technology","Equity","3976872.63","0.04939","3976872.63","1864","2133.52","Canada","Toronto Stock Exchange","USD","1.39175","--"
"CLS","CELESTICA INC","Information Technology","Equity","3945118.85","0.049","3945118.85","10588","372.6","Canada","Toronto Stock Exchange","USD","1.39175","--"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","3939628.9","0.04893","3939628.9","8665","454.66","United States","NYSE","USD","1","--"
"DGE","DIAGEO PLC","Consumer Staples","Equity","3928756.23","0.0488","3928756.23","196312","20.01","United Kingdom","London Stock Exchange","USD","0.74702","Jan 01, 1998"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","3922917.08","0.04872","3922917.08","18677","210.04","United States","NYSE","USD","1","--"
"CVNA","CARVANA CLASS A","Consumer Discretionary","Equity","3920232.42","0.04869","3920232.42","58942","66.51","United States","NYSE","USD","1","--"
"8053","SUMITOMO CORP","Industrials","Equity","3919106.48","0.04868","3919106.48","91800","42.69","Japan","Tokyo Stock Exchange","USD","160.265","--"
"ALAB","ASTERA LABS INC","Information Technology","Equity","3883033.82","0.04823","3883033.82","12247","317.06","United States","NASDAQ","USD","1","--"
"SAND","SANDVIK","Industrials","Equity","3881161.42","0.04821","3881161.42","96374","40.27","Sweden","Nasdaq Omx Nordic","USD","9.4309","--"
"RACE","FERRARI NV","Consumer Discretionary","Equity","3880668.86","0.0482","3880668.86","11176","347.23","Italy","Borsa Italiana","USD","0.86513","--"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","3870476.14","0.04807","3870476.14","76500","50.59","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.83485","--"
"8591","ORIX CORP","Financials","Equity","3856264.94","0.0479","3856264.94","101100","38.14","Japan","Tokyo Stock Exchange","USD","160.265","--"
"BDX","BECTON DICKINSON","Health Care","Equity","3833871.08","0.04762","3833871.08","25363","151.16","United States","NYSE","USD","1","--"
"2914","JAPAN TOBACCO INC","Consumer Staples","Equity","3808945.18","0.04731","3808945.18","102200","37.27","Japan","Tokyo Stock Exchange","USD","160.265","--"
"FNV","FRANCO NEVADA CORP","Materials","Equity","3805619.57","0.04727","3805619.57","17386","218.89","Canada","Toronto Stock Exchange","USD","1.39175","--"
"WDS","WOODSIDE ENERGY GROUP LTD","Energy","Equity","3797765.29","0.04717","3797765.29","173514","21.89","Australia","Asx - All Markets","USD","1.41223","--"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","3795978.54","0.04715","3795978.54","66678","56.93","United States","NYSE","USD","1","--"
"ATD","ALIMENTATION COUCHE TARD INC","Consumer Staples","Equity","3782715","0.04698","3782715","63736","59.35","Canada","Toronto Stock Exchange","USD","1.39175","--"
"HUM","HUMANA INC","Health Care","Equity","3753557.76","0.04662","3753557.76","10722","350.08","United States","NYSE","USD","1","--"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","3748968.63","0.04656","3748968.63","24849","150.87","United States","NYSE","USD","1","--"
"CCI","CROWN CASTLE INC","Real Estate","Equity","3738024.4","0.04643","3738024.4","39560","94.49","United States","NYSE","USD","1","--"
"BAYN","BAYER AG","Health Care","Equity","3735094.25","0.04639","3735094.25","89362","41.8","Germany","Xetra","USD","0.86513","--"
"NDAQ","NASDAQ INC","Financials","Equity","3701021.12","0.04597","3701021.12","42404","87.28","United States","NASDAQ","USD","1","--"
"LR","LEGRAND SA","Industrials","Equity","3690520.53","0.04584","3690520.53","22172","166.45","France","Nyse Euronext - Euronext Paris","USD","0.86513","--"
"TEVA","TEVA PHARMACEUTICAL INDUSTRIES ADR","Health Care","Equity","3690195.08","0.04583","3690195.08","107932","34.19","Israel","NYSE","USD","1","--"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","3668420.25","0.04556","3668420.25","12105","303.05","United States","NASDAQ","USD","1","--"
"6367","DAIKIN INDUSTRIES LTD","Industrials","Equity","3652637.82","0.04537","3652637.82","24700","147.88","Japan","Tokyo Stock Exchange","USD","160.265","--"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","3652810.12","0.04537","3652810.12","48388","75.49","United States","NYSE","USD","1","--"
"MBG","MERCEDES-BENZ GROUP N AG","Consumer Discretionary","Equity","3646308.94","0.04529","3646308.94","65726","55.48","Germany","Xetra","USD","0.86513","--"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","3637799.6","0.04518","3637799.6","45770","79.48","United States","NYSE","USD","1","--"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","3634108.02","0.04514","3634108.02","119034","30.53","United States","NASDAQ","USD","1","--"
"SLF","SUN LIFE FINANCIAL INC","Financials","Equity","3629078.21","0.04507","3629078.21","49132","73.86","Canada","Toronto Stock Exchange","USD","1.39175","--"
"WCN","WASTE CONNECTIONS INC","Industrials","Equity","3624542.22","0.04502","3624542.22","23351","155.22","United States","NYSE","USD","1","--"
"HLN","HALEON PLC","Health Care","Equity","3616096.6","0.04491","3616096.6","801573","4.51","United Kingdom","London Stock Exchange","USD","0.74702","--"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","3602670.28","0.04475","3602670.28","577381952","0.62","Japan","--","USD","160.265","--"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","3602146.16","0.04474","3602146.16","27512","130.93","United States","NYSE","USD","1","--"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","3582733","0.0445","3582733","44275","80.92","United States","NYSE","USD","1","--"
"RKT","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","3574973.83","0.0444","3574973.83","58707","60.9","United Kingdom","London Stock Exchange","USD","0.74702","--"
"TSCO","TESCO PLC","Consumer Staples","Equity","3572289.76","0.04437","3572289.76","587404","6.08","United Kingdom","London Stock Exchange","USD","0.74702","--"
"VTR","VENTAS REIT INC","Real Estate","Equity","3567377.88","0.04431","3567377.88","43494","82.02","United States","NYSE","USD","1","--"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrials","Equity","3564870.36","0.04428","3564870.36","39918","89.3","France","Nyse Euronext - Euronext Paris","USD","0.86513","--"
"9434","SOFTBANK CORP","Communication","Equity","3552792.69","0.04413","3552792.69","2689600","1.32","Japan","Tokyo Stock Exchange","USD","160.265","--"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","3537904.35","0.04394","3537904.35","14955","236.57","United States","NYSE","USD","1","--"
"6146","DISCO CORP","Information Technology","Equity","3532424.42","0.04387","3532424.42","7800","452.87","Japan","Tokyo Stock Exchange","USD","160.265","--"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","3529543.32","0.04384","3529543.32","120298","29.34","United States","NYSE","USD","1","--"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","3527573.06","0.04381","3527573.06","16454","214.39","United States","NASDAQ","USD","1","--"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","3518587.38","0.0437","3518587.38","33113","106.26","United States","NYSE","USD","1","--"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","3505320","0.04354","3505320","24075","145.6","United States","NYSE","USD","1","--"
"6702","FUJITSU LTD","Information Technology","Equity","3490954.36","0.04336","3490954.36","155800","22.41","Japan","Tokyo Stock Exchange","USD","160.265","--"
"SSE","SSE PLC","Utilities","Equity","3473186.33","0.04314","3473186.33","108106","32.13","United Kingdom","London Stock Exchange","USD","0.74702","--"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","3465909.6","0.04305","3465909.6","25590","135.44","United States","NYSE","USD","1","--"
"PCG","PG&E CORP","Utilities","Equity","3464193.26","0.04303","3464193.26","202466","17.11","United States","NYSE","USD","1","--"
"RWE","RWE AG","Utilities","Equity","3452331.15","0.04288","3452331.15","53334","64.73","Germany","Xetra","USD","0.86513","--"
"UCB","UCB SA","Health Care","Equity","3439264.86","0.04272","3439264.86","11400","301.69","Belgium","Nyse Euronext - Euronext Brussels","USD","0.86513","--"
"USD","USD CASH","Cash and/or Derivatives","Cash","3418491.95","0.04246","3418491.95","3418492","100","United States","--","USD","1","--"
"JBL","JABIL INC","Information Technology","Equity","3417950.24","0.04245","3417950.24","9676","353.24","United States","NYSE","USD","1","--"
"EBS","ERSTE GROUP BANK AG","Financials","Equity","3410090.41","0.04235","3410090.41","28754","118.59","Austria","Wiener Boerse Ag","USD","0.86513","--"
"STLD","STEEL DYNAMICS INC","Materials","Equity","3400015.5","0.04223","3400015.5","12663","268.5","United States","NASDAQ","USD","1","--"
"IRM","IRON MOUNTAIN INC","Real Estate","Equity","3399353.54","0.04222","3399353.54","27269","124.66","United States","NYSE","USD","1","--"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","3392145.36","0.04213","3392145.36","6978","486.12","United States","NASDAQ","USD","1","--"
"CVE","CENOVUS ENERGY","Energy","Equity","3374549.39","0.04191","3374549.39","119171","28.32","Canada","Toronto Stock Exchange","USD","1.39175","--"
"GALD","GALDERMA GROUP N AG","Health Care","Equity","3371336.65","0.04187","3371336.65","16578","203.36","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","3366997.6","0.04182","3366997.6","17480","192.62","United States","NASDAQ","USD","1","--"
"ORA","ORANGE SA","Communication","Equity","3351362.51","0.04163","3351362.51","166295","20.15","France","Nyse Euronext - Euronext Paris","USD","0.86513","Jan 01, 1998"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Consumer Staples","Equity","3344750.1","0.04154","3344750.1","80715","41.44","Netherlands","Euronext Amsterdam","USD","0.86513","--"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","3343432.95","0.04153","3343432.95","29601","112.95","United States","NYSE","USD","1","--"
"SYY","SYSCO CORP","Consumer Staples","Equity","3336085.41","0.04144","3336085.41","43729","76.29","United States","NYSE","USD","1","--"
"VMC","VULCAN MATERIALS","Materials","Equity","3326192.98","0.04131","3326192.98","11821","281.38","United States","NYSE","USD","1","--"
"G","ASSICURAZIONI GENERALI","Financials","Equity","3323892.33","0.04128","3323892.33","74094","44.86","Italy","Borsa Italiana","USD","0.86513","--"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","3315260.46","0.04118","3315260.46","25089","132.14","United States","NYSE","USD","1","--"
"EME","EMCOR GROUP INC","Industrials","Equity","3313084.32","0.04115","3313084.32","4053","817.44","United States","NYSE","USD","1","--"
"8750","DAIICHI LIFE GROUP INC","Financials","Equity","3311203.32","0.04113","3311203.32","319200","10.37","Japan","Tokyo Stock Exchange","USD","160.265","--"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","3300377.6","0.04099","3300377.6","39104","84.4","United States","NASDAQ","USD","1","--"
"WAT","WATERS CORP","Health Care","Equity","3282028.88","0.04076","3282028.88","8983","365.36","United States","NYSE","USD","1","--"
"6301","KOMATSU LTD","Industrials","Equity","3263010.64","0.04053","3263010.64","77600","42.05","Japan","Tokyo Stock Exchange","USD","160.265","--"
"7182","JAPAN POST BANK LTD","Financials","Equity","3258335.88","0.04047","3258335.88","165200","19.72","Japan","Tokyo Stock Exchange","USD","160.265","--"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","3246550.12","0.04032","3246550.12","78628","41.29","United States","NASDAQ","USD","1","--"
"KR","KROGER","Consumer Staples","Equity","3223380.42","0.04004","3223380.42","50706","63.57","United States","NYSE","USD","1","--"
"U11","UNITED OVERSEAS BANK LTD","Financials","Equity","3214992.24","0.03993","3214992.24","107500","29.91","Singapore","Singapore Exchange","USD","1.289","--"
"XYZ","BLOCK INC CLASS A","Financials","Equity","3205707.85","0.03982","3205707.85","47039","68.15","United States","NYSE","USD","1","--"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","3204510.6","0.0398","3204510.6","30630","104.62","United States","NYSE","USD","1","--"
"IFC","INTACT FINANCIAL CORP","Financials","Equity","3190898.08","0.03963","3190898.08","16095","198.25","Canada","Toronto Stock Exchange","USD","1.39175","--"
"CCL","CARNIVAL CORP LTD","Consumer Discretionary","Equity","3158920.27","0.03924","3158920.27","115247","27.41","United States","NYSE","USD","1","--"
"DOL","DOLLARAMA INC","Consumer Discretionary","Equity","3150304.78","0.03913","3150304.78","24194","130.21","Canada","Toronto Stock Exchange","USD","1.39175","--"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","3147405.5","0.03909","3147405.5","9475","332.18","United States","NASDAQ","USD","1","--"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","3141624.65","0.03902","3141624.65","15185","206.89","United States","NASDAQ","USD","1","--"
"ERIC B","ERICSSON B","Information Technology","Equity","3131560.93","0.0389","3131560.93","244078","12.83","Sweden","Nasdaq Omx Nordic","USD","9.4309","Jan 01, 1998"
"MTB","M&T BANK CORP","Financials","Equity","3118608.8","0.03873","3118608.8","14020","222.44","United States","NYSE","USD","1","--"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","3105451.19","0.03857","3105451.19","5393","575.83","United States","NYSE","USD","1","--"
"KVUE","KENVUE INC","Consumer Staples","Equity","3090359.58","0.03838","3090359.58","174498","17.71","United States","NYSE","USD","1","--"
"SDZ","SANDOZ GROUP AG","Health Care","Equity","3088426.62","0.03836","3088426.62","38085","81.09","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","3080683.2","0.03826","3080683.2","38780","79.44","United States","NYSE","USD","1","--"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","3060881.66","0.03802","3060881.66","339600","9.01","Japan","Tokyo Stock Exchange","USD","160.265","--"
"ASSA B","ASSA ABLOY B","Industrials","Equity","3059949.1","0.03801","3059949.1","88305","34.65","Sweden","Nasdaq Omx Nordic","USD","9.4309","--"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Industrials","Equity","3059396.18","0.038","3059396.18","286510","10.68","Australia","Asx - All Markets","USD","1.41223","--"
"HAL","HALLIBURTON","Energy","Equity","3037860.48","0.03773","3037860.48","77536","39.18","United States","NYSE","USD","1","--"
"LUMI","BANK LEUMI LE ISRAEL","Financials","Equity","3025758.56","0.03758","3025758.56","131515","23.01","Israel","Tel Aviv Stock Exchange","USD","2.92955","--"
"FER","FERROVIAL NV","Industrials","Equity","3021886.45","0.03753","3021886.45","44781","67.48","Spain","Bolsa De Madrid","USD","0.86513","--"
"CSL","CSL LTD","Health Care","Equity","3019740.57","0.03751","3019740.57","43556","69.33","Australia","Asx - All Markets","USD","1.41223","--"
"EQT","EQT CORP","Energy","Equity","3018438.75","0.03749","3018438.75","56157","53.75","United States","NYSE","USD","1","--"
"ALC","ALCON AG","Health Care","Equity","3011616.04","0.03741","3011616.04","45024","66.89","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Equity","3007036.48","0.03735","3007036.48","182024","16.52","United States","NASDAQ","USD","1","--"
"TWLO","TWILIO INC CLASS A","Information Technology","Equity","2985327.9","0.03708","2985327.9","13210","225.99","United States","NYSE","USD","1","--"
"PRU","PRUDENTIAL PLC","Financials","Equity","2982992.1","0.03705","2982992.1","234416","12.73","United Kingdom","London Stock Exchange","USD","0.74702","--"
"POW","POWER CORPORATION OF CANADA","Financials","Equity","2979298.44","0.037","2979298.44","49380","60.33","Canada","Toronto Stock Exchange","USD","1.39175","--"
"SE","SEA ADS REPRESENTING LTD CLASS A","Consumer Discretionary","Equity","2977923.68","0.03699","2977923.68","34403","86.56","Singapore","NYSE","USD","1","--"
"8725","MS&AD INSURANCE GROUP HOLDINGS INC","Financials","Equity","2976616.85","0.03697","2976616.85","110300","26.99","Japan","Tokyo Stock Exchange","USD","160.265","--"
"GIVN","GIVAUDAN SA","Materials","Equity","2966000.13","0.03684","2966000.13","821","3612.67","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"NTAP","NETAPP INC","Information Technology","Equity","2952766.08","0.03667","2952766.08","17677","167.04","United States","NASDAQ","USD","1","--"
"SUNB","SUNBELT RENTALS HOLDINGS INC","Industrials","Equity","2950123.05","0.03664","2950123.05","36989","79.76","United Kingdom","London Stock Exchange","USD","0.74702","--"
"NTR","NUTRIEN LTD","Materials","Equity","2950143.89","0.03664","2950143.89","43852","67.28","Canada","Toronto Stock Exchange","USD","1.39175","--"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","2932178.24","0.03642","2932178.24","29606","99.04","United States","NASDAQ","USD","1","--"
"EXPN","EXPERIAN PLC","Industrials","Equity","2923584.29","0.03631","2923584.29","83358","35.07","United Kingdom","London Stock Exchange","USD","0.74702","--"
"PAYX","PAYCHEX INC","Industrials","Equity","2917983.78","0.03624","2917983.78","29026","100.53","United States","NASDAQ","USD","1","--"
"6701","NEC CORP","Information Technology","Equity","2916449.01","0.03622","2916449.01","109900","26.54","Japan","Tokyo Stock Exchange","USD","160.265","--"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","2904049.28","0.03607","2904049.28","24112","120.44","United States","NASDAQ","USD","1","--"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","2900480.33","0.03603","2900480.33","31807","91.19","United States","NASDAQ","USD","1","--"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","2894533.2","0.03595","2894533.2","18993","152.4","United States","NASDAQ","USD","1","--"
"DANSKE","DANSKE BANK","Financials","Equity","2890177.69","0.0359","2890177.69","56615","51.05","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.46625","--"
"4519","CHUGAI PHARMACEUTICAL LTD","Health Care","Equity","2889340.78","0.03589","2889340.78","61300","47.13","Japan","Tokyo Stock Exchange","USD","160.265","--"
"NTRS","NORTHERN TRUST CORP","Financials","Equity","2888443.68","0.03588","2888443.68","16944","170.47","United States","NASDAQ","USD","1","--"
"CNC","CENTENE CORP","Health Care","Equity","2848792.65","0.03538","2848792.65","45705","62.33","United States","NYSE","USD","1","--"
"K","KINROSS GOLD CORP","Materials","Equity","2837283.28","0.03524","2837283.28","108186","26.23","Canada","Toronto Stock Exchange","USD","1.39175","--"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","2836064.98","0.03523","2836064.98","15197","186.62","Germany","Xetra","USD","0.86513","--"
"WOW","WOOLWORTHS GROUP LTD","Consumer Staples","Equity","2803887.73","0.03483","2803887.73","110948","25.27","Australia","Asx - All Markets","USD","1.41223","--"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","2802015.3","0.0348","2802015.3","15274","183.45","United States","NYSE","USD","1","--"
