"Ticker","Name","Sector","Asset Class","Market Value","Weight (%)","Notional Value","Quantity","Price","Location","Exchange","Currency","FX Rate","Accrual Date"
"BHP","BHP GROUP LTD","Materials","Equity","20048194.91","0.24901","20048194.91","462323","43.36","Australia","Asx - All Markets","USD","1.41223","--"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","19679756.65","0.24443","19679756.65","979800","20.09","Japan","Tokyo Stock Exchange","USD","160.265","--"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","18085219.68","0.22463","18085219.68","64627","279.84","United States","NYSE","USD","1","--"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","17904000.95","0.22238","17904000.95","44605","401.39","United States","NASDAQ","USD","1","--"
"SAP","SAP","Information Technology","Equity","17726599.9","0.22017","17726599.9","94970","186.65","Germany","Xetra","USD","0.86513","--"
"PEP","PEPSICO INC","Consumer Staples","Equity","17702533.12","0.21987","17702533.12","124736","141.92","United States","NASDAQ","USD","1","--"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","17437262.17","0.21658","17437262.17","153048","113.93","Australia","Asx - All Markets","USD","1.41223","--"
"TD","TORONTO DOMINION","Financials","Equity","17265318.79","0.21444","17265318.79","152333","113.34","Canada","Toronto Stock Exchange","USD","1.39175","--"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","17256025.8","0.21433","17256025.8","380340","45.37","United States","NYSE","USD","1","--"
"AMGN","AMGEN INC","Health Care","Equity","17220310.8","0.21388","17220310.8","49260","349.58","United States","NASDAQ","USD","1","--"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","16923128.43","0.21019","16923128.43","19969","847.47","United States","NASDAQ","USD","1","--"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","16371748.16","0.20334","16371748.16","190724","85.84","United States","NYSE","USD","1","--"
"SAN","BANCO SANTANDER","Financials","Equity","16271899.59","0.2021","16271899.59","1318836","12.34","Spain","Bolsa De Madrid","USD","0.86513","--"
"TJX","TJX INC","Consumer Discretionary","Equity","16235406.33","0.20165","16235406.33","101023","160.71","United States","NYSE","USD","1","--"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","16181098.12","0.20098","16181098.12","31621","511.72","United States","NASDAQ","USD","1","--"
"DIS","WALT DISNEY","Communication","Equity","16108449.63","0.20007","16108449.63","161553","99.71","United States","NYSE","USD","1","--"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","16053924","0.1994","16053924","33955","472.8","United States","NYSE","USD","1","--"
"TTE","TOTALENERGIES","Energy","Equity","16018788.5","0.19896","16018788.5","179117","89.43","France","Nyse Euronext - Euronext Paris","USD","0.86513","--"
"9984","SOFTBANK GROUP CORP","Communication","Equity","15717088.57","0.19521","15717088.57","339200","46.34","Japan","Tokyo Stock Exchange","USD","160.265","--"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","15612932.37","0.19392","15612932.37","112477","138.81","United States","NYSE","USD","1","--"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","15440896.54","0.19178","15440896.54","49650","310.99","France","Nyse Euronext - Euronext Paris","USD","0.86513","--"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","15385892.12","0.1911","15385892.12","865200","17.78","Japan","Tokyo Stock Exchange","USD","160.265","--"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","15208872.8","0.1889","15208872.8","41000","370.95","Japan","Tokyo Stock Exchange","USD","160.265","--"
"AXP","AMERICAN EXPRESS","Financials","Equity","15185060.8","0.18861","15185060.8","48880","310.66","United States","NYSE","USD","1","--"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","15130158.96","0.18792","15130158.96","22548","671.02","United States","NASDAQ","USD","1","--"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","15071561.92","0.1872","15071561.92","97696","154.27","United States","NYSE","USD","1","--"
"ALV","ALLIANZ","Financials","Equity","14978762.52","0.18604","14978762.52","34760","430.92","Germany","Xetra","USD","0.86513","--"
"ABBN","ABB LTD","Industrials","Equity","14970033.62","0.18593","14970033.62","143062","104.64","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"BA","BOEING","Industrials","Equity","14748198.85","0.18318","14748198.85","68453","215.45","United States","NYSE","USD","1","--"
"UNP","UNION PACIFIC CORP","Industrials","Equity","14694931.84","0.18252","14694931.84","53962","272.32","United States","NYSE","USD","1","--"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","14640673.48","0.18184","14640673.48","113353","129.16","United States","NASDAQ","USD","1","--"
"T","AT&T INC","Communication","Equity","14541185.75","0.18061","14541185.75","639173","22.75","United States","NYSE","USD","1","--"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","14502715.36","0.18013","14502715.36","159248","91.07","United States","NYSE","USD","1","--"
"285A","KIOXIA HOLDINGS CORP","Information Technology","Equity","14090699.78","0.17501","14090699.78","28900","487.57","Japan","Tokyo Stock Exchange","USD","160.265","--"
"ETN","EATON PLC","Industrials","Equity","14076458.88","0.17484","14076458.88","35552","395.94","United States","NYSE","USD","1","--"
"UBSG","UBS GROUP AG","Financials","Equity","13724395.22","0.17046","13724395.22","289642","47.38","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","13692470.52","0.17007","13692470.52","32442","422.06","United States","NASDAQ","USD","1","--"
"CRM","SALESFORCE INC","Information Technology","Equity","13582328.62","0.1687","13582328.62","73157","185.66","United States","NYSE","USD","1","--"
"PFE","PFIZER INC","Health Care","Equity","13498302.72","0.16766","13498302.72","518368","26.04","United States","NYSE","USD","1","--"
