ticker,sector,industry,marketCap,enterpriseValue,ebitda,netIncomeToCommon,freeCashflow,bookValue,sharesOutstanding,totalDebt,totalCash,totalAssets,grossProfits,operatingCashflow,returnOnAssets,returnOnEquity,operatingMargins,grossMargins,currentRatio,debtToEquity,totalRevenue,revenueGrowth,earningsGrowth,interestExpense,enterprise_value,book_value_total,net_debt,ebitda_yield,earnings_yield,fcf_yield,book_yield,gp_a,fcf_ni,revenue_cagr_3y,fcf_cagr_3y,revenue_trend_ols,fcf_trend_ols,delta_gross_margin,asset_growth,share_dilution,dn_ebitda,interest_coverage,cfo_debt,roce
CVX,Energy,Oil & Gas Integrated,336978313216,380338110464.0,37906001920.0,11009000448.0,11776499712.0,92.906,1991597732,45427998720.0,5327000064.0,324012000000.0,78792998912.0,31264000000.0,0.0346,0.06638,0.07312,0.42421,1.094,0.23989000000000002,185740001280.0,0.023,-0.445,,380338110464.0,186450000000.0,40100998656.0,0.09966395919082609,0.03266975949560093,0.03494735195155236,0.5532997011605529,0.2431792616075948,1.069715617473649,-0.07852874895364959,-0.23886352505659136,-0.0776600417532413,-0.3047661830106464,-0.009758175598670149,0.26105130420568384,0.0,1.0579063110014215,17.222678718159408,0.6882099339814369,0.07212043010752688
CMG,Consumer Cyclical,Restaurants,45395955712,49770414080.0,2303996928.0,1451986048.0,1087909760.0,1.871,1282734000,5245879808.0,871422016.0,8994531000.0,4812852224.0,2208200960.0,0.13539,0.49231997,0.13271,0.39648998,0.919,2.1788499999999997,12138590208.0,0.074,-0.179,,49770414080.0,2830607000.0,4374457792.0,0.04629250068718737,0.03198492079804768,0.023964904867338682,0.06235372635302301,0.5350865124596269,0.7492563454714408,0.11364082990765789,0.19701190502328325,0.1084186979011399,0.16709315726137644,0.014938185001710486,-0.022798182690099294,-0.04003014533199976,1.8986387259627457,,0.4209400597841528,0.2578411093784847
CB,Financial Services,Insurance - Property & Casualty,140083429376,163848437760.0,14488999936.0,11299000320.0,12622624768.0,189.933,387860106,25138999296.0,7497999872.0,272327000000.0,18904999936.0,15196999680.0,0.03364,0.15433,0.20641,0.30998,0.386,0.31457999999999997,60987998208.0,0.102,0.787,,163848437760.0,73757000000.0,17640999424.0,0.08842928339190531,0.08065907845297095,0.09010790801044302,0.5265219471607006,0.06942021883985063,1.1171452704233573,0.11562448439502893,,0.10804987684138896,,,0.10455976118240667,-0.01791730076506749,1.2175443096088643,18.073298429319372,0.6045188792545961,
CHD,Consumer Defensive,Household & Personal Products,23362637824,25236639744.0,1388000000.0,733000000.0,1128824960.0,17.671,236943602,2377400064.0,503400000.0,8912400000.0,2821600000.0,1204499968.0,0.08140001,0.16779,0.20233999,0.45470002,1.217,0.56794,6205400064.0,0.002,0.022,,25236639744.0,4002200000.0,1874000064.0,0.05499939825903313,0.03137488178869095,0.048317530259377614,0.17130771063396852,0.3165926125398321,1.540006766712142,0.048889197884673496,0.15661767246672476,0.04622608666117569,0.14838259510452426,0.028759585124105036,0.00329839808175074,0.0,1.3501441383285302,11.051470588235293,0.5066458886071604,0.14189380554843756
CIEN,Technology,Communication Equipment,59800449024,60178194432.0,785740032.0,438300000.0,700927872.0,20.426,141552922,1580579968.0,1202834048.0,5864667000.0,2397331968.0,1032771008.0,0.06664,0.15464,0.15195,0.43047002,2.727,0.54649,5569149952.0,0.395,23.833,,60178194432.0,2729323000.0,377745920.0,0.013056889450012803,0.007329376403580097,0.011721113861848985,0.04564051013905644,0.40877546295467415,1.599196605065024,0.09500526254009078,,0.07233999806708914,0.9054540975385148,-0.009170484664970169,0.039588133096817295,-0.011494887467705906,0.48075178127108587,2.703140665184604,0.6534126895881297,0.05444164561693296
CI,Healthcare,Healthcare Plans,76124487680,99404488704.0,13390000128.0,6288000000.0,6923375104.0,159.524,264532404,30900000768.0,7852000256.0,157919000000.0,25423998976.0,8812000256.0,0.04782,0.16268998,0.054780003,0.09149,0.818,0.7280500000000001,277892005888.0,0.046,0.291,,99404488704.0,41713000000.0,23048000512.0,0.13470216790583614,0.08260154112869032,0.0909480682891868,0.5479577107349013,0.16099392078217314,1.1010456590330788,0.1514950529756025,0.04453851655856056,0.150211760070915,0.020614072738718632,-0.03506491184835017,0.013074075737261116,0.005187422983662599,1.7212845624851065,6.526278409090909,0.28517799472437866,0.09046339230337576
CINF,Financial Services,Insurance - Property & Casualty,29704493056,29329496064.0,3648000000.0,2756999936.0,2748250112.0,101.643,154686742,884000000.0,1259000064.0,41002000000.0,3612000000.0,3457999872.0,0.05553,0.18735,0.11841,0.27938998,1.044,5.626,12928000000.0,0.116,,,29329496064.0,15911000000.0,-375000064.0,0.12437990724558261,0.0928142396102301,0.09251967730332573,0.5356428729486815,0.08809326374323204,0.9968263241918334,0.2438798815724228,0.14925433895096263,0.19265982636148382,0.15354443309499488,,0.12331169009068245,1.7199900388826667e-05,-0.1027960701754386,57.22641509433962,3.911764561085973,
CTAS,Industrials,Specialty Business Services,72572829696,75298783232.0,2903095040.0,1930966016.0,1508147456.0,11.971,400136881,2918187008.0,183204000.0,9825241000.0,5553490944.0,2207493888.0,0.15942,0.41303003,0.23224,0.50361997,1.983,0.60943,11027210240.0,0.089,0.097,,75298783232.0,4684481000.0,2734983008.0,0.038554341987909586,0.026607285730604894,0.02078115821468547,0.06454868880850866,0.5652269439497718,0.7810326248641758,0.09598334537578124,0.10649869159817582,0.09001564289957031,0.11957633588042071,0.03795013167131306,0.07159309647035163,0.0049655025001358695,0.9420921362602032,23.39389563634925,0.75646073467818,0.28913158089996516
CSCO,Technology,Communication Equipment,444160278528,460521275392.0,17006999552.0,11957999616.0,9288375296.0,12.401,3941434665,33001000960.0,16640000000.0,122291000000.0,39058001920.0,13025000448.0,0.07337,0.25229,0.24992001,0.64296997,0.925,0.67541,60745998336.0,0.12,0.371,,460521275392.0,46843000000.0,16361000960.0,0.03692988893406387,0.026922712800050992,0.020912215128247803,0.10546418098269227,0.3193857431863342,0.7767499242575657,0.03192384157728467,0.013898544116964118,0.022091940167662045,-0.05216699225815787,0.023897974041091063,-0.017056095424111628,-0.011729927626653357,0.9620157224074231,7.967984934086629,0.3946850116391136,0.14551686977656
C,Financial Services,Banks - Diversified,238729609216,28897605632.0,,14696999936.0,,112.225,1705576955,815575007232.0,1046570008576.0,2657202000000.0,78734000128.0,-30797000704.0,0.0060900003,0.07649,0.34078,0.0,,3.841778536216797,78734000128.0,0.159,0.561,,28897605632.0,212291000000.0,-230995001344.0,0.0,0.06156337282277504,0.0,0.8892529112629736,0.029630415801282704,0.0,0.04589654681078592,,0.04368717715218791,-0.4544261277452104,,0.12930901487285082,1.0835498293550806e-05,,,-0.037761089330732064,
